;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
5230;5505.0;340.0;E;13999.0;5.5;6.5;2.0;0.69;0.09;0.41;0.08;0.12;0.02;3.0705;67.113;1.18;36.742348;76994.5
5231;5506.0;340.0;E;15000.0;5.5;6.5;2.0;0.8;0.11;0.47;0.08;0.12;0.02;3.56;82.027;1.18;36.742348;82500.0
5232;5507.0;340.0;E;16000.0;5.5;6.5;2.0;0.91;0.14;0.54;0.08;0.12;0.02;4.0495;104.398;1.18;36.742348;88000.0
5233;5508.0;340.0;E;17000.0;5.5;6.5;2.0;1.02;0.16;0.61;0.08;0.12;0.02;4.539;119.312;1.18;36.742348;93500.0
5234;5509.0;340.0;E;18000.0;5.5;6.5;2.0;1.15;0.19;0.67;0.08;0.12;0.02;5.1175;141.683;1.18;36.742348;99000.0
5235;5510.0;340.0;E;19000.0;5.5;6.5;2.0;1.28;0.22;0.73;0.08;0.12;0.02;5.696;164.054;1.18;36.742348;104500.0
5236;5511.0;340.0;E;20000.0;5.5;6.5;2.0;1.41;0.25;0.79;0.08;0.12;0.02;6.2745;186.425;1.18;36.742348;110000.0
5237;5512.0;340.0;E;21000.0;5.5;6.5;2.0;1.55;0.29;0.86;0.08;0.12;0.02;6.8975;216.253;1.18;36.742348;115500.0
5238;5513.0;340.0;E;22000.0;5.5;6.5;2.0;1.71;0.32;0.93;0.08;0.12;0.02;7.6095;238.624;1.18;36.742348;121000.0
5239;5518.0;341.0;;1000.0;5.7;3.0;2.0;0.0;0.01;0.0;0.04;0.11;0.02;0.0;7.457;0.53;72.772804;5700.0
5240;5519.0;341.0;;2000.0;5.7;3.0;2.0;0.01;0.01;0.0;0.04;0.11;0.02;0.0445;7.457;0.53;72.772804;11400.0
5241;5520.0;341.0;;3000.0;5.7;3.0;2.0;0.03;0.01;0.01;0.04;0.11;0.02;0.1335;7.457;0.53;72.772804;17100.0
5242;5521.0;341.0;;4000.0;5.7;3.0;2.0;0.06;0.01;0.02;0.04;0.11;0.02;0.267;7.457;0.53;72.772804;22800.0
5243;5522.0;341.0;;5000.0;5.7;3.0;2.0;0.09;0.01;0.03;0.04;0.11;0.02;0.4005;7.457;0.53;72.772804;28500.0
5244;5523.0;341.0;;6000.0;5.7;3.0;2.0;0.13;0.01;0.05;0.04;0.11;0.02;0.5785;7.457;0.53;72.772804;34200.0
5245;5524.0;341.0;;7000.0;5.7;3.0;2.0;0.18;0.01;0.07;0.04;0.11;0.02;0.801;7.457;0.53;72.772804;39900.0
5246;5525.0;341.0;;8000.0;5.7;3.0;2.0;0.23;0.01;0.09;0.04;0.11;0.02;1.0235;7.457;0.53;72.772804;45600.0
5247;5526.0;341.0;;9000.0;5.7;3.0;2.0;0.29;0.02;0.11;0.04;0.11;0.02;1.2905;14.914;0.53;72.772804;51300.0
5248;5527.0;341.0;;10000.0;5.7;3.0;2.0;0.36;0.02;0.14;0.04;0.11;0.02;1.602;14.914;0.53;72.772804;57000.0
5249;5528.0;341.0;;11000.0;5.7;3.0;2.0;0.44;0.03;0.16;0.04;0.11;0.02;1.958;22.371;0.53;72.772804;62700.0
5250;5529.0;341.0;;12000.0;5.7;3.0;2.0;0.53;0.04;0.2;0.04;0.11;0.02;2.3585;29.828;0.53;72.772804;68400.0
5251;5203.0;331.0;E;38000.0;4.0;3.3;2.0;2.14;0.57;0.95;0.13;0.18;0.01;9.523;425.049;0.83;41.53846;152000.0
5252;5530.0;341.0;;13000.0;5.7;3.0;2.0;0.62;0.05;0.23;0.04;0.11;0.02;2.759;37.285;0.53;72.772804;74100.0
5253;5531.0;341.0;;13999.0;5.7;3.0;2.0;0.72;0.06;0.27;0.05;0.11;0.02;3.204;44.742;0.53;58.218243;79794.3
5254;4586.0;316.0;E;35000.0;4.1;4.1;2.0;1.48;0.34;0.61;0.08;0.13;0.01;6.586;253.538;1.0;41.429535;143500.0
5255;4587.0;316.0;E;36000.0;4.1;4.1;2.0;1.56;0.36;0.63;0.08;0.13;0.01;6.942;268.452;1.0;41.429535;147600.0
5256;4588.0;316.0;E;37000.0;4.1;4.1;2.0;1.65;0.39;0.67;0.08;0.13;0.01;7.3425;290.823;1.0;41.429535;151700.0
5257;4589.0;316.0;E;38000.0;4.1;4.1;2.0;1.74;0.42;0.7;0.08;0.13;0.01;7.743;313.194;1.0;41.429535;155800.0
5258;4590.0;316.0;E;39000.0;4.1;4.1;2.0;1.83;0.45;0.73;0.08;0.13;0.01;8.1435;335.565;1.0;41.429535;159900.0
5259;4591.0;316.0;E;40000.0;4.1;4.1;2.0;1.92;0.49;0.77;0.08;0.13;0.01;8.544;365.393;1.0;41.429535;164000.0
5260;4592.0;316.0;E;41000.0;4.1;4.1;2.0;2.02;0.52;0.81;0.08;0.13;0.01;8.989;387.764;1.0;41.429535;168100.0
5261;5532.0;341.0;;15000.0;5.7;3.0;2.0;0.83;0.07;0.31;0.05;0.11;0.02;3.6935;52.199;0.53;58.218243;85500.0
5262;5533.0;341.0;;16000.0;5.7;3.0;2.0;0.94;0.09;0.35;0.05;0.11;0.02;4.183;67.113;0.53;58.218243;91200.0
5263;5534.0;341.0;;17000.0;5.7;3.0;2.0;1.07;0.11;0.4;0.04;0.11;0.02;4.7615;82.027;0.53;72.772804;96900.0
5264;5535.0;341.0;;18000.0;5.7;3.0;2.0;1.2;0.13;0.44;0.04;0.11;0.02;5.34;96.941;0.53;72.772804;102600.0
5265;5536.0;341.0;;19000.0;5.7;3.0;2.0;1.34;0.15;0.49;0.04;0.11;0.02;5.963;111.855;0.53;72.772804;108300.0
5266;5537.0;341.0;;20000.0;5.7;3.0;2.0;1.49;0.17;0.54;0.04;0.11;0.02;6.6305;126.769;0.53;72.772804;114000.0
5267;5538.0;341.0;;21000.0;5.7;3.0;2.0;1.64;0.2;0.6;0.04;0.11;0.02;7.298;149.14;0.53;72.772804;119700.0
5268;5539.0;341.0;;22000.0;5.7;3.0;2.0;1.81;0.23;0.65;0.04;0.11;0.02;8.0545;171.511;0.53;72.772804;125400.0
5269;5540.0;341.0;;23000.0;5.7;3.0;2.0;1.99;0.26;0.71;0.04;0.11;0.02;8.8555;193.882;0.53;72.772804;131100.0
5270;5541.0;341.0;;24000.0;5.7;3.0;2.0;2.17;0.3;0.78;0.04;0.11;0.02;9.6565;223.71;0.53;72.772804;136800.0
5271;5556.0;342.0;;1000.0;5.0;3.0;2.0;0.0;0.01;0.0;0.06;0.13;0.01;0.0;7.457;0.6;62.330963;5000.0
5272;5557.0;342.0;;2000.0;5.0;3.0;2.0;0.01;0.01;0.0;0.06;0.13;0.01;0.0445;7.457;0.6;62.330963;10000.0
5273;5558.0;342.0;;3000.0;5.0;3.0;2.0;0.02;0.01;0.01;0.06;0.13;0.01;0.089;7.457;0.6;62.330963;15000.0
5274;5559.0;342.0;;4000.0;5.0;3.0;2.0;0.04;0.01;0.02;0.06;0.13;0.01;0.178;7.457;0.6;62.330963;20000.0
5275;5560.0;342.0;;5000.0;5.0;3.0;2.0;0.06;0.01;0.02;0.06;0.13;0.01;0.267;7.457;0.6;62.330963;25000.0
5276;5561.0;342.0;;6000.0;5.0;3.0;2.0;0.09;0.01;0.03;0.06;0.13;0.01;0.4005;7.457;0.6;62.330963;30000.0
5277;5562.0;342.0;;7000.0;5.0;3.0;2.0;0.12;0.01;0.05;0.06;0.13;0.01;0.534;7.457;0.6;62.330963;35000.0
5278;5563.0;342.0;;8000.0;5.0;3.0;2.0;0.16;0.01;0.06;0.06;0.13;0.01;0.712;7.457;0.6;62.330963;40000.0
5279;5564.0;342.0;;9000.0;5.0;3.0;2.0;0.21;0.01;0.08;0.06;0.13;0.01;0.9345;7.457;0.6;62.330963;45000.0
5280;5565.0;342.0;;10000.0;5.0;3.0;2.0;0.25;0.02;0.09;0.06;0.13;0.01;1.1125;14.914;0.6;62.330963;50000.0
5281;5566.0;342.0;;11000.0;5.0;3.0;2.0;0.31;0.02;0.12;0.06;0.13;0.01;1.3795;14.914;0.6;62.330963;55000.0
5282;5567.0;342.0;;12000.0;5.0;3.0;2.0;0.37;0.03;0.14;0.06;0.13;0.01;1.6465;22.371;0.6;62.330963;60000.0
5283;5568.0;342.0;;13000.0;5.0;3.0;2.0;0.43;0.03;0.16;0.06;0.13;0.01;1.9135;22.371;0.6;62.330963;65000.0
5284;5569.0;342.0;;13999.0;5.0;3.0;2.0;0.5;0.04;0.19;0.06;0.13;0.01;2.225;29.828;0.6;62.330963;69995.0
5285;5570.0;342.0;;15000.0;5.0;3.0;2.0;0.57;0.05;0.22;0.06;0.13;0.01;2.5365;37.285;0.6;62.330963;75000.0
5286;5571.0;342.0;;16000.0;5.0;3.0;2.0;0.65;0.06;0.25;0.06;0.13;0.01;2.8925;44.742;0.6;62.330963;80000.0
5287;5572.0;342.0;;17000.0;5.0;3.0;2.0;0.74;0.08;0.28;0.06;0.13;0.01;3.293;59.656;0.6;62.330963;85000.0
5288;5573.0;342.0;;18000.0;5.0;3.0;2.0;0.83;0.09;0.31;0.06;0.13;0.01;3.6935;67.113;0.6;62.330963;90000.0
5289;5574.0;342.0;;19000.0;5.0;3.0;2.0;0.93;0.1;0.34;0.06;0.13;0.01;4.1385;74.57;0.6;62.330963;95000.0
5290;5575.0;342.0;;20000.0;5.0;3.0;2.0;1.03;0.12;0.38;0.06;0.13;0.01;4.5835;89.484;0.6;62.330963;100000.0
5291;5576.0;342.0;;21000.0;5.0;3.0;2.0;1.13;0.14;0.42;0.06;0.13;0.01;5.0285;104.398;0.6;62.330963;105000.0
5292;4847.0;322.0;E;32000.0;4.5;4.1;2.0;1.79;0.37;0.73;0.08;0.13;0.01;7.9655;275.909;0.91;41.429535;144000.0
5293;4848.0;322.0;E;33000.0;4.5;4.1;2.0;1.91;0.41;0.77;0.08;0.13;0.01;8.4995;305.737;0.91;41.429535;148500.0
5294;4849.0;322.0;E;34000.0;4.5;4.1;2.0;2.02;0.44;0.82;0.08;0.13;0.01;8.989;328.108;0.91;41.429535;153000.0
5295;4850.0;322.0;E;35000.0;4.5;4.1;2.0;2.14;0.48;0.86;0.08;0.13;0.01;9.523;357.936;0.91;41.429535;157500.0
5296;4853.0;322.0;E;38000.0;4.5;4.1;2.0;2.53;0.64;1.06;0.08;0.13;0.01;11.2585;477.248;0.91;41.429535;171000.0
5297;6863.0;381.0;E;20000.0;7.0;4.0;2.0;4.05;0.81;2.57;0.08;0.13;0.02;18.0225;604.017;0.57;41.429535;140000.0
5298;6864.0;381.0;E;21000.0;7.0;4.0;2.0;4.5;1.01;3.03;0.08;0.13;0.02;20.025;753.157;0.57;41.429535;147000.0
5299;5577.0;342.0;;22000.0;5.0;3.0;2.0;1.25;0.16;0.46;0.06;0.13;0.01;5.5625;119.312;0.6;62.330963;110000.0
5300;5578.0;342.0;;23000.0;5.0;3.0;2.0;1.37;0.18;0.5;0.06;0.13;0.01;6.0965;134.226;0.6;62.330963;115000.0
5301;5579.0;342.0;;24000.0;5.0;3.0;2.0;1.49;0.2;0.54;0.06;0.13;0.01;6.6305;149.14;0.6;62.330963;120000.0
5302;8308.0;440.0;E;22000.0;8.0;4.0;2.0;8.44;2.25;6.45;0.08;0.13;0.03;37.558;1677.825;0.5;41.429535;176000.0
5303;5580.0;342.0;;25000.0;5.0;3.0;2.0;1.62;0.23;0.58;0.06;0.13;0.01;7.209;171.511;0.6;62.330963;125000.0
5304;5581.0;342.0;;26000.0;5.0;3.0;2.0;1.75;0.26;0.63;0.06;0.13;0.01;7.7875;193.882;0.6;62.330963;130000.0
5305;9029.0;471.0;E;19000.0;9.0;4.5;2.0;9.9;2.56;8.48;0.08;0.13;0.04;44.055;1908.992;0.5;41.429535;171000.0
5306;9030.0;471.0;E;20000.0;9.0;4.5;2.0;11.14;3.08;9.71;0.08;0.13;0.04;49.573;2296.756;0.5;41.429535;180000.0
5307;9035.0;471.0;E;25000.0;9.0;4.5;2.0;17.09;6.28;15.84;0.08;0.13;0.04;76.0505;4682.996;0.5;41.429535;225000.0
5308;5582.0;342.0;;26999.0;5.0;3.0;2.0;1.9;0.29;0.68;0.06;0.13;0.01;8.455;216.253;0.6;62.330963;134995.0
5309;5611.0;343.0;E;13999.0;5.0;3.0;2.0;0.45;0.04;0.16;0.05;0.12;0.01;2.0025;29.828;0.6;58.787754;69995.0
5310;5612.0;343.0;E;15000.0;5.0;3.0;2.0;0.52;0.04;0.18;0.05;0.12;0.01;2.314;29.828;0.6;58.787754;75000.0
5311;5613.0;343.0;E;16000.0;5.0;3.0;2.0;0.59;0.05;0.21;0.05;0.12;0.01;2.6255;37.285;0.6;58.787754;80000.0
5312;5614.0;343.0;E;17000.0;5.0;3.0;2.0;0.67;0.06;0.24;0.05;0.12;0.01;2.9815;44.742;0.6;58.787754;85000.0
5313;5615.0;343.0;E;18000.0;5.0;3.0;2.0;0.75;0.08;0.27;0.05;0.12;0.01;3.3375;59.656;0.6;58.787754;90000.0
5314;5616.0;343.0;E;19000.0;5.0;3.0;2.0;0.83;0.09;0.3;0.05;0.12;0.01;3.6935;67.113;0.6;58.787754;95000.0
5315;5617.0;343.0;E;20000.0;5.0;3.0;2.0;0.93;0.1;0.33;0.05;0.12;0.01;4.1385;74.57;0.6;58.787754;100000.0
5316;5786.0;347.0;E;29000.0;5.0;4.0;3.0;4.6;1.49;3.24;0.24;0.27;0.01;20.47;1111.093;0.8;41.33514;145000.0
5317;6866.0;381.0;E;23000.0;7.0;4.0;2.0;5.49;1.52;4.18;0.09;0.14;0.02;24.4305;1133.464;0.57;41.15613;161000.0
