TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
SCORPION;?Scorpion SII-2212-960KV (V2);960;14;0.51;0.139;58;13;12;44.4;;;0.009947184;0.124;92.16676542;319.4244604;12.76348208;92.16811257;0.005073064;0.129313391;;45.03264139;0.104958279;0.005429672
SCORPION;?Scorpion SII-2212-1070KV (V2);1070;14;0.59;0.091;58;15;12;44.4;;;0.008924576;0.129;93.11326577;487.9120879;16.9666771;93.16611434;0.0052655;0.133868644;;38.40283878;0.045784058;0.004630304
SCORPION;?Scorpion SII-2212-1850KV (V2);1850;14;1.31;0.032;58;22;12;44.4;;;0.005161782;0.107;92.55428337;1387.5;42.6336135;93.94902868;0.006761934;0.113559203;;55.91431707;0.042743378;0.006741697
SCORPION;?Scorpion SII-2212-1400kv (V2);1400;14;0.73;0.091;58;25;12;44.4;;;0.006820926;0.166;92.10574324;487.9120879;18.87262102;92.41354273;0.004979276;0.170523153;;55.53890903;0.10459623;0.006696433
SCORPION;?Scorpion SII-2215-900KV (V2);900;14;0.52;0.142;68.6;16;12;44.4;;;0.01061033;0.164;91.79918919;312.6760563;12.75113914;92.01017226;0.005517371;0.169765273;;55.25784345;0.067270642;0.006662545
SCORPION;?Scorpion SII-2215-1127KV (V2);1127;14;0.73;0.078;68.6;20;12;44.4;;;0.0084732;0.163;92.96472973;569.2307692;20.38476052;92.96603009;0.006185436;0.169464003;;43.88086343;0.038298421;0.0052908
SCORPION;?Scorpion SII-2215-1810KV (V2);1810;14;1.35;0.031;68.6;25;12;44.4;;;0.005275854;0.125;92.94876126;1432.258065;43.97213194;93.9540041;0.007122404;0.131896362;;74.74180846;0.02635125;0.009011764
SCORPION;?Scorpion SII-2215-1400KV (V2);1400;14;0.95;0.095;68.6;35;12;44.4;;;0.006820926;0.232;90.00024131;467.3684211;21.07130751;91.18626481;0.00647988;0.238732415;;22.49956872;0.147362806;0.002712816
SCORPION;Scorpion S-2503-1610KV (F3P Special);1610;16;0.35;0.18;20;10;12;44.4;;;0.00593124;0.057;92.58783784;246.6666667;9.291573243;92.60818386;0.002075934;0.059312401;;20.53496528;0.115787371;0.00247594
SCORPION;Scorpion S-2503-1960KV (F3P Special);1960;16;0.44;0.135;20;11;12;44.4;;;0.00487209;0.051;92.78918919;328.8888889;12.02959314;92.81849066;0.00214372;0.053592991;;137.9822152;0.030556403;0.016636782
