LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
1346;72;E;11000;12;12;2;9.52;5.33;30.53;0.2;0.12;0.07;42.364;3974.581;1;14.69693846;132000
1352;73;N;1000;12;12;2;0.07;0.01;0.08;0.07;0.11;0.07;0.3115;7.457;1;41.58445837;12000
1353;73;N;2000;12;12;2;0.29;0.01;0.33;0.07;0.11;0.07;1.2905;7.457;1;41.58445837;24000
1354;73;N;3000;12;12;2;0.65;0.04;0.75;0.07;0.11;0.07;2.8925;29.828;1;41.58445837;36000
1355;73;N;4000;12;12;2;1.15;0.08;1.27;0.06;0.11;0.07;5.1175;59.656;1;48.51520143;48000
1317;70;NULL;12000;12;12;2;12.8;9.86;51.79;0.29;0.13;0.07;56.96;7352.602;1;12.8960614;144000
1318;70;NULL;13000;12;12;2;14.53;10.42;50.54;0.24;0.13;0.07;64.6585;7770.194;1;15.58274085;156000
1319;70;NULL;13999;12;12;2;16.3;10.57;47.6;0.19;0.13;0.07;72.535;7882.049;1;19.68346213;167988
1320;70;NULL;15000;12;12;2;18.3;11.81;49.63;0.17;0.12;0.07;81.435;8806.717;1;19.51025785;180000
1356;73;N;5000;12;12;2;1.79;0.14;1.82;0.06;0.11;0.07;7.9655;104.398;1;48.51520143;60000
1357;73;N;6000;12;12;2;2.58;0.25;2.61;0.06;0.11;0.07;11.481;186.425;1;48.51520143;72000
1358;73;N;7000;12;12;2;3.66;0.75;6.75;0.11;0.11;0.07;16.287;559.275;1;26.46283714;84000
1359;73;N;8000;12;12;2;4.95;1.61;12.64;0.16;0.12;0.07;22.0275;1200.577;1;20.72964897;96000
1360;73;N;9000;12;12;2;6.47;2.94;20.58;0.2;0.12;0.07;28.7915;2192.358;1;16.58371917;108000
1361;73;N;10000;12;12;2;8.24;4.91;30.92;0.25;0.12;0.07;36.668;3661.387;1;13.26697534;120000
1362;73;N;11000;12;12;2;10.26;7.7;44.12;0.29;0.13;0.07;45.657;5741.89;1;12.8960614;132000
1369;74;NULL;1000;12;13;2;0.08;0.01;0.09;0.07;0.12;0.07;0.356;7.457;1.08;47.38205478;12000
1370;74;NULL;2000;12;13;2;0.3;0.01;0.36;0.07;0.12;0.07;1.335;7.457;1.08;47.38205478;24000
1371;74;NULL;3000;12;13;2;0.68;0.04;0.82;0.07;0.12;0.07;3.026;29.828;1.08;47.38205478;36000
1372;74;NULL;4000;12;13;2;1.21;0.09;1.36;0.07;0.11;0.07;5.3845;67.113;1.08;41.58445837;48000
1332;71;NULL;12000;12;12.5;2;12.87;10.26;53.91;0.3;0.14;0.07;57.2715;7650.882;1.04;13.93191642;144000
1333;71;NULL;13000;12;12.5;2;14.59;10.85;52.6;0.25;0.13;0.07;64.9255;8090.845;1.04;14.95943122;156000
1334;71;NULL;13999;12;12.5;2;16.37;11.07;49.85;0.2;0.13;0.07;72.8465;8254.899;1.04;18.69928902;167988
1335;71;NULL;18000;12;12.5;2;26.14;20.52;71.85;0.18;0.12;0.07;116.323;15301.764;1.04;18.42635464;216000
1373;74;NULL;5000;12;13;2;1.89;0.15;1.94;0.06;0.11;0.07;8.4105;111.855;1.08;48.51520143;60000
1374;74;NULL;6000;12;13;2;2.76;0.36;3.76;0.08;0.12;0.07;12.282;268.452;1.08;41.45929794;72000
1375;74;NULL;7000;12;13;2;3.92;0.95;8.53;0.14;0.12;0.07;17.444;708.415;1.08;23.69102739;84000
1376;74;NULL;8000;12;13;2;5.31;1.93;15.23;0.19;0.13;0.07;23.6295;1439.201;1.08;19.68346213;96000
1377;74;NULL;9000;12;13;2;6.94;3.45;24.17;0.24;0.13;0.07;30.883;2572.665;1.08;15.58274085;108000
1378;74;NULL;10000;12;13;2;8.83;5.68;35.83;0.28;0.13;0.07;39.2935;4235.576;1.08;13.35663502;120000
1379;74;NULL;11000;12;13;2;11.01;8.84;50.65;0.33;0.14;0.07;48.9945;6591.988;1.08;12.66537856;132000
1385;75;N;1000;12;13;2;0.07;0.01;0.09;0.07;0.11;0.07;0.3115;7.457;1.08;41.58445837;12000
1386;75;N;2000;12;13;2;0.29;0.01;0.34;0.07;0.11;0.07;1.2905;7.457;1.08;41.58445837;24000
1387;75;N;3000;12;13;2;0.64;0.04;0.77;0.07;0.11;0.07;2.848;29.828;1.08;41.58445837;36000
1388;75;N;4000;12;13;2;1.14;0.08;1.3;0.06;0.11;0.07;5.073;59.656;1.08;48.51520143;48000
